name,code_name,overridenametextid,nameprefixid,overridepartnerskilltextid,tribe,bpclass,pictorial_id,zukanindexsuffix,size,rarity,element_1,element_2,genuscategory,hp,melee_attack,remote_attack,defense,support,craftspeed,capture_probability,experience_multiplier,price,airresponse,aisightresponse,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,isboss,istowerboss,battlebgm,ignoreleanback,ignoreblowaway,maxfullstomach,fullstomachdecreaserate,foodamount,viewingdistance,viewingangle,hearingrate,noosetrap,nocturnal,biologicalgrade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,carry,pasture,passive_skill_1,passive_skill_2,passive_skill_3,passive_skill_4
SakuraSaurus_Water,BOSS_SakuraSaurus_Water,PAL_NAME_SakuraSaurus_Water,BOSS_NAME_SakuraSaurus_Water,PARTNERSKILL_SakuraSaurus_Water,EPalTribeID::SakuraSaurus_Water,BOSS_SakuraSaurus_Water,-1,no,XL,8,Leaf,Water,EPalGenusCategoryType::FourLegged,120,80,95,100,120,100,70%,10,3110,NotInterested,None,50,75,350,600,200,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,840,0,3,0,0,0,0,0,0,0,0,0,0,None,None,None,None
Anubis,Boss_Anubis,PAL_NAME_Anubis,BOSS_NAME_Anubis,PARTNERSKILL_Anubis,EPalTribeID::Anubis,Boss_Anubis,-1,no,XL,10,Earth,None,EPalGenusCategoryType::Humanoid,120,130,130,100,100,100,70%,10,9190,Boss,None,80,160,800,1000,480,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,570,0,0,0,0,4,0,0,3,0,0,2,0,ElementBoost_Earth_2_PAL,None,None,None
ThunderDragonMan,GYM_ThunderDragonMan,PAL_NAME_VolcanoBoss,GYM_NAME_Volcano,PARTNERSKILL_hunderDragonMan,EPalTribeID::ThunderDragonMan,GYM_ThunderDragonMan,-2,no,XL,9,Dragon,Electricity,EPalGenusCategoryType::Humanoid,6500,100,140,110,100,100,100%,30,8320,Warlike,None,100,185,900,1300,542,TRUE,TRUE,EPalBattleBGMType::TowerBoss,TRUE,TRUE,475,1,7,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,100,9999,0,0,0,3,2,0,0,0,0,0,3,0,None,None,None,None
IceFox,BOSS_IceFox,PAL_NAME_IceFox,BOSS_NAME_IceFox,PARTNERSKILL_IceFox,EPalTribeID::IceFox,BOSS_IceFox,-1,no,XL,5,Ice,None,EPalGenusCategoryType::FourLegged,90,100,95,105,100,100,70%,10,3730,NotInterested,None,65,130,600,750,315,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,760,0,0,0,0,0,0,0,0,0,2,0,0,None,None,None,None
AmaterasuWolf,BOSS_AmaterasuWolf,PAL_NAME_AmaterasuWolf,BOSS_NAME_AmaterasuWolf,PARTNERSKILL_AmaterasuWolf,EPalTribeID::AmaterasuWolf,BOSS_AmaterasuWolf,-1,no,XL,6,Fire,None,EPalGenusCategoryType::FourLegged,100,70,115,100,110,100,70%,10,3170,Boss,None,80,130,700,1000,415,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,830,2,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
CowPal,BOSS_CowPal,PAL_NAME_CowPal,BOSS_NAME_CowPal,PARTNERSKILL_CowPal,EPalTribeID::CowPal,BOSS_CowPal,-1,no,M,2,Normal,None,EPalGenusCategoryType::FourLegged,90,100,50,80,100,100,70%,10,2620,NotInterested,None,55,55,580,700,317,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,20,910,0,0,0,0,0,0,0,0,0,0,0,1,None,None,None,None
CatBat,BOSS_CatBat,PAL_NAME_CatBat,BOSS_NAME_CatBat,PARTNERSKILL_CatBat,EPalTribeID::CatBat,BOSS_CatBat,-1,no,XL,5,Dark,None,EPalGenusCategoryType::Humanoid,95,100,95,80,100,100,70%,10,3810,Boss,None,80,140,400,550,270,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,750,0,0,0,0,0,2,0,2,0,0,2,0,None,None,None,None
CatMage,BOSS_CatMage,PAL_NAME_CatMage,BOSS_NAME_CatMage,PARTNERSKILL_CatMage,EPalTribeID::CatMage,BOSS_CatMage,-1,no,XL,6,Dark,None,EPalGenusCategoryType::Humanoid,90,100,105,90,100,100,70%,10,4120,Boss,None,70,145,440,620,292,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,700,0,0,0,0,2,0,0,0,2,0,2,0,None,None,None,None
BadCatgirl,BadCatgirl,None,None,None,EPalTribeID::BadCatgirl,BadCatgirl,-1,no,XL,0,Dark,None,EPalGenusCategoryType::Humanoid,100,100,90,90,100,100,100%,1,4690,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,TRUE,0,FALSE,TRUE,100,50,0,0,0,0,0,2,3,1,0,0,0,2,0,None,None,None,None
BlueberryFairy,BlueberryFairy,None,None,None,EPalTribeID::BlueberryFairy,BlueberryFairy,-1,no,XL,0,Leaf,Dark,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,1,8200,Escape_to_Battle,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,2,0,1,2,0,0,3,0,1,0,None,None,None,None
BadCatgirl,BOSS_BadCatgirl,PAL_NAME_BadCatgirl,BOSS_NAME_BadCatgirl,PARTNERSKILL_BadCatgirl,EPalTribeID::BadCatgirl,BOSS_BadCatgirl,-1,no,XL,0,Dark,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,4690,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,0,0,0,0,0,2,3,1,0,0,0,2,0,None,None,None,None
BeardedDragon,BOSS_BeardedDragon,PAL_NAME_BeardedDragon,BOSS_NAME_BeardedDragon,PARTNERSKILL_BeardedDragon,EPalTribeID::BeardedDragon,BeardedDragon,-1,no,XL,0,Dragon,None,EPalGenusCategoryType::Dragon,100,100,100,100,100,100,70%,10,9970,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,600,1,9,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
BlackFurDragon,BOSS_BlackFurDragon,PAL_NAME_BlackFurDragon,BOSS_NAME_BlackFurDragon,PARTNERSKILL_BlackFurDragon,EPalTribeID::BlackFurDragon,BOSS_BlackFurDragon,-1,no,XL,10,Dark,Dragon,EPalGenusCategoryType::Humanoid,130,100,130,110,100,100,70%,10,8440,Boss,None,55,110,560,800,335,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
BlueberryFairy,BOSS_BlueberryFairy,PAL_NAME_BlueberryFairy,BOSS_NAME_BlueberryFairy,PARTNERSKILL_BlueberryFairy,EPalTribeID::BlueberryFairy,BOSS_BlueberryFairy,-1,no,XL,0,Leaf,Dark,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,8200,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,2,0,1,2,0,0,3,0,1,0,None,None,None,None
BrownRabbit,BOSS_BrownRabbit,PAL_NAME_BrownRabbit,BOSS_NAME_BrownRabbit,PARTNERSKILL_BrownRabbit,EPalTribeID::BrownRabbit,BOSS_BrownRabbit,-1,no,XL,0,Earth,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,2350,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,2,2,0,1,0,0,1,0,None,None,None,None
DarkMutant,BOSS_DarkMutant,PAL_NAME_DarkMutant,BOSS_NAME_DarkMutant,PARTNERSKILL_DarkMutant,EPalTribeID::DarkMutant,BOSS_DarkMutant,-1,no,XL,5,Dark,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,3960,Boss,None,100,150,550,700,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,0,0,0,0,0,3,0,0,0,3,0,2,0,None,None,None,None
ElecLion,BOSS_ElecLion,PAL_NAME_ElecLion,BOSS_NAME_ElecLion,PARTNERSKILL_ElecLion,EPalTribeID::ElecLion,BOSS_ElecLion,-1,no,XL,0,Electricity,None,EPalGenusCategoryType::FourLegged,100,100,110,70,100,100,70%,10,4200,Boss,None,85,85,800,1000,442,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,2,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
FeatherOstrich,BOSS_FeatherOstrich,PAL_NAME_FeatherOstrich,BOSS_NAME_FeatherOstrich,PARTNERSKILL_FeatherOstrich,EPalTribeID::FeatherOstrich,BOSS_FeatherOstrich,-1,no,XL,0,Earth,None,EPalGenusCategoryType::Other,100,100,100,100,100,100,70%,10,4610,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,2,0,0,0,0,0,0,None,None,None,None
GoldenHorse,BOSS_GoldenHorse,PAL_NAME_GoldenHorse,BOSS_NAME_GoldenHorse,PARTNERSKILL_GoldenHorse,EPalTribeID::GoldenHorse,BOSS_GoldenHorse,-1,no,XL,0,Earth,None,EPalGenusCategoryType::FourLegged,100,100,100,100,100,100,70%,10,7960,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,2,0,0,0,0,0,0,None,None,None,None
GrassDragon,BOSS_GrassDragon,PAL_NAME_GrassDragon,BOSS_NAME_GrassDragon,PARTNERSKILL_GrassDragon,EPalTribeID::GrassDragon,GrassDragon,-1,no,XL,0,Leaf,None,EPalGenusCategoryType::Humanoid,130,80,120,90,80,100,70%,10,6510,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
GuardianDog,BOSS_GuardianDog,PAL_NAME_GuardianDog,BOSS_NAME_GuardianDog,PARTNERSKILL_GuardianDog,EPalTribeID::GuardianDog,GuardianDog,-1,no,XL,0,Normal,None,EPalGenusCategoryType::FourLegged,90,80,80,90,110,100,70%,10,1510,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
PinkKangaroo,BOSS_PinkKangaroo,PAL_NAME_PinkKangaroo,BOSS_NAME_PinkKangaroo,PARTNERSKILL_PinkKangaroo,EPalTribeID::PinkKangaroo,BOSS_PinkKangaroo,-1,no,XL,0,Normal,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,3660,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
ScorpionMan,BOSS_ScorpionMan,PAL_NAME_ScorpionMan,BOSS_NAME_ScorpionMan,PARTNERSKILL_ScorpionMan,EPalTribeID::ScorpionMan,BOSS_ScorpionMan,-1,no,XL,0,Dark,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,8080,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,1,3,0,1,0,0,0,None,None,None,None
SifuDog,BOSS_SifuDog,PAL_NAME_SifuDog,BOSS_NAME_SifuDog,PARTNERSKILL_SifuDog,EPalTribeID::SifuDog,BOSS_SifuDog,-1,no,XL,0,Normal,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,4440,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,3,2,2,0,1,0,2,0,None,None,None,None
TentacleTurtle,BOSS_TentacleTurtle,PAL_NAME_TentacleTurtle,BOSS_NAME_TentacleTurtle,PARTNERSKILL_TentacleTurtle,EPalTribeID::TentacleTurtle,BOSS_TentacleTurtle,-1,no,XL,0,Water,None,EPalGenusCategoryType::Other,100,100,100,100,100,100,70%,10,2300,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,1,0,0,2,0,None,None,None,None
WaterLizard,BOSS_WaterLizard,PAL_NAME_WaterLizard,BOSS_NAME_WaterLizard,PARTNERSKILL_WaterLizard,EPalTribeID::WaterLizard,BOSS_WaterLizard,-1,no,XL,0,Fire,None,EPalGenusCategoryType::Humanoid,90,120,90,90,80,100,70%,10,4040,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
WingGolem,BOSS_WingGolem,PAL_NAME_WingGolem,BOSS_NAME_WingGolem,PARTNERSKILL_WingGolem,EPalTribeID::WingGolem,BOSS_WingGolem,-1,no,XL,0,Earth,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,70%,10,10380,Boss,None,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,1,1,0,3,0,0,4,0,None,None,None,None
BrownRabbit,BrownRabbit,None,None,None,EPalTribeID::BrownRabbit,BrownRabbit,-1,no,S,0,Earth,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,1,2350,Escape_to_Battle,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,2,2,0,1,0,0,1,0,None,None,None,None
ElecLion,ElecLion,None,None,None,EPalTribeID::ElecLion,ElecLion,-1,no,M,0,Electricity,None,EPalGenusCategoryType::FourLegged,100,100,110,70,100,100,100%,1,4200,Warlike,None,85,85,800,1000,442,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,2,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
FeatherOstrich,FeatherOstrich,None,None,None,EPalTribeID::FeatherOstrich,FeatherOstrich,-1,no,M,0,Earth,None,EPalGenusCategoryType::Other,100,100,100,100,100,100,100%,1,4610,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,2,0,0,0,0,0,0,None,None,None,None
GoldenHorse,GoldenHorse,None,None,None,EPalTribeID::GoldenHorse,GoldenHorse,-1,no,L,0,Earth,None,EPalGenusCategoryType::FourLegged,100,100,100,100,100,100,100%,1,7960,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,2,0,0,0,0,0,0,None,None,None,None
PinkKangaroo,PinkKangaroo,None,None,None,EPalTribeID::PinkKangaroo,PinkKangaroo,-1,no,M,0,Normal,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,1,3660,Escape_to_Battle,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
ScorpionMan,ScorpionMan,None,None,None,EPalTribeID::ScorpionMan,ScorpionMan,-1,no,L,0,Dark,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,1,8080,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,1,3,0,1,0,0,0,None,None,None,None
SifuDog,SifuDog,None,None,None,EPalTribeID::SifuDog,SifuDog,-1,no,M,0,Normal,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,1,4440,NotInterested,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,3,2,2,0,1,0,2,0,None,None,None,None
TentacleTurtle,TentacleTurtle,None,None,None,EPalTribeID::TentacleTurtle,TentacleTurtle,-1,no,S,0,Water,None,EPalGenusCategoryType::Other,100,100,100,100,100,100,100%,1,2300,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,1,0,0,2,0,None,None,None,None
WingGolem,WingGolem,None,None,None,EPalTribeID::WingGolem,WingGolem,-1,no,XL,0,Earth,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,1,10380,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,1,1,0,3,0,0,4,0,None,None,None,None
BeardedDragon,BeardedDragon,None,None,None,EPalTribeID::BeardedDragon,BeardedDragon,-1,no,XL,0,Dragon,None,EPalGenusCategoryType::Dragon,100,100,100,100,100,100,100%,1,9970,Escape,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,600,1,9,25,90,1,FALSE,FALSE,0,TRUE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
WaterLizard,WaterLizard,None,None,None,EPalTribeID::WaterLizard,WaterLizard,-1,no,M,0,Fire,None,EPalGenusCategoryType::Humanoid,90,120,90,90,80,100,100%,1,4040,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
GuardianDog,GuardianDog,None,None,None,EPalTribeID::GuardianDog,GuardianDog,-1,no,S,0,Normal,None,EPalGenusCategoryType::FourLegged,90,80,80,90,110,100,100%,1,1510,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
GrassDragon,GrassDragon,None,None,None,EPalTribeID::GrassDragon,GrassDragon,-1,no,L,0,Leaf,None,EPalGenusCategoryType::Humanoid,130,80,120,90,80,100,100%,1,6510,Warlike,None,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
BlackFurDragon,BlackFurDragon,None,None,None,EPalTribeID::BlackFurDragon,BlackFurDragon,-1,no,L,10,Dark,Dragon,EPalGenusCategoryType::Humanoid,130,100,130,110,100,100,100%,1,8440,Warlike,None,55,110,560,800,335,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,99,TRUE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
DarkMutant,DarkMutant,None,None,None,EPalTribeID::DarkMutant,DarkMutant,-1,no,M,5,Dark,None,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,1,3960,Warlike,None,100,150,550,700,350,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,99,FALSE,TRUE,100,50,0,0,0,0,0,3,0,0,0,3,0,2,0,None,None,None,None
RobinHood,BOSS_RobinHood,PAL_NAME_RobinHood,BOSS_NAME_RobinHood,PARTNERSKILL_RobinHood,EPalTribeID::RobinHood,BOSS_RobinHood,-1,no,XL,0,Leaf,None,EPalGenusCategoryType::Humanoid,90,100,105,80,100,100,70%,10,2050,Boss,None,100,100,600,750,400,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1020,0,0,1,0,2,2,1,0,1,0,2,0,None,None,None,None
RedArmorBird,BOSS_RedArmorBird,PAL_NAME_RedArmorBird,BOSS_NAME_RedArmorBird,PARTNERSKILL_RedArmorBird,EPalTribeID::RedArmorBird,BOSS_RedArmorBird,-1,no,XL,7,Fire,None,EPalGenusCategoryType::Bird,95,100,105,120,100,100,70%,10,6720,Boss,None,100,200,800,1400,375,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,0,TRUE,TRUE,150,50,380,3,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
